what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1342709595467
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1342709596709
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342709599605
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342709608077
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342709608193
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342709611857
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342709616358
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342709624943
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1342709626298
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1342709631159
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342709634195
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1342709640713
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1342709640806
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1342709642175
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342709642194
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342709646082
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1342709652275
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342709652295
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1342709656756
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1342709656807
